country,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
Malta,2017,62.8,23.2,43.8,52.8,66.9,68.1
Macao,2017,62.6,39.0,51.3,56.3,48.6,86.4
Lebanon,2017,61.7,30.9,46.9,46.9,60.2,53.6
Taiwan,2017,61.4,14.8,39.1,72.9,28.1,118.6
Ghana,2017,60.5,46.7,53.9,56.3,43.4,14.5
Jordan,2017,59.2,12.5,36.8,50.2,56.2,42.3
Costa Rica,2017,58.6,18.8,39.5,57.6,45.4,53.6
Bahrain,2017,57.8,31.6,45.3,55.5,49.2,94.8
Jamaica,2017,56.9,11.9,35.3,56.0,39.0,36.6
Panama,2017,56.9,31.9,44.9,57.4,47.4,38.5
Trinidad And Tobago,2017,56.2,21.1,39.4,53.5,51.9,57.1
Greece,2017,55.9,10.2,34.0,45.0,54.6,58.2
Belize,2017,55.8,11.3,34.5,49.3,33.4,134.3
Mongolia,2017,55.6,29.7,43.1,54.0,31.8,22.8
Spain,2017,55.0,18.8,37.7,44.7,53.7,87.9
Cyprus,2017,54.1,12.3,34.0,44.1,58.0,95.9
Palestine,2017,53.5,10.3,32.8,50.0,37.8,50.5
Slovenia,2017,53.2,14.1,34.5,43.5,43.1,78.2
Fiji,2017,53.1,27.4,40.8,57.1,36.8,33.7
Brazil,2017,53.1,15.5,35.1,41.6,42.3,42.4
Oman,2017,52.6,27.9,40.8,49.3,51.3,111.9
Argentina,2017,52.6,13.9,34.0,44.1,50.4,58.4
Dominican Republic,2017,52.1,12.5,33.1,46.9,42.3,29.1
Zimbabwe,2017,51.6,13.6,33.4,44.7,40.0,27.2
Mauritius,2017,50.4,12.6,32.3,43.3,35.8,50.8
Chile,2017,50.1,15.4,33.5,43.2,44.4,61.3
Estonia,2017,49.5,14.0,32.5,36.7,46.8,68.5
Portugal,2017,49.2,16.8,33.7,39.1,41.2,62.7
Tanzania,2017,48.5,22.8,36.2,37.6,33.5,41.9
Saudi Arabia,2017,48.4,14.4,32.1,40.5,30.2,138.1
Croatia,2017,48.0,10.1,29.8,39.9,37.5,60.7
Latvia,2017,47.8,12.1,30.7,36.7,41.2,52.5
Honduras,2017,47.4,11.6,30.2,39.4,36.3,37.5
Iraq,2017,47.0,15.2,31.8,39.2,44.4,55.1
Cambodia,2017,46.8,14.5,31.3,50.6,22.1,16.6
Lithuania,2017,46.7,13.3,30.7,36.2,40.1,51.7
Namibia,2017,46.5,21.0,34.3,40.9,43.2,50.5
Ecuador,2017,46.1,12.4,30.0,44.9,30.4,37.8
Guatemala,2017,46.0,14.3,30.8,43.9,32.6,48.2
El Salvador,2017,45.9,9.4,28.4,41.2,35.2,29.7
Libya,2017,45.8,18.8,32.9,47.0,35.7,132.7
Ethiopia,2017,45.7,20.8,33.8,36.9,23.9,16.7
Slovakia,2017,44.9,16.5,31.3,38.8,33.2,64.7
China,2017,44.8,18.7,32.3,47.7,29.7,67.8
Zambia,2017,44.7,21.9,33.8,33.8,32.3,89.9
Thailand,2017,43.7,14.9,29.9,48.3,21.4,34.3
South Africa,2017,43.1,16.3,30.3,36.3,40.2,99.0
Hungary,2017,42.8,12.7,28.3,33.6,32.7,47.5
Russia,2017,42.0,17.6,30.3,33.6,43.8,48.3
Czech Republic,2017,41.2,14.8,28.6,35.8,28.0,76.2
Indonesia,2017,41.1,11.7,27.0,45.8,20.3,27.6
Malaysia,2017,40.2,11.2,26.3,42.4,20.9,73.3
Vietnam,2017,40.1,15.5,28.3,39.6,20.5,24.8
Peru,2017,39.5,17.2,28.8,36.2,25.5,41.2
Montenegro,2017,39.3,9.5,25.1,31.1,35.0,46.6
Kenya,2017,39.0,9.7,25.0,37.6,30.0,31.0
Bolivia,2017,38.7,11.1,25.4,32.1,28.0,46.7
Turkey,2017,38.6,10.6,25.2,33.5,26.4,55.6
Venezuela,2017,38.3,7.5,23.5,39.4,37.3,3.3
Iran,2017,38.3,17.0,28.1,33.5,33.2,43.2
Poland,2017,38.1,13.9,26.5,29.7,31.5,71.8
Nigeria,2017,36.8,17.6,27.6,37.0,22.4,25.2
Bulgaria,2017,36.5,8.9,23.3,30.5,29.6,51.4
Bangladesh,2017,36.1,5.6,21.5,32.7,24.9,37.0
Romania,2017,35.6,9.6,23.2,29.0,30.2,53.4
Morocco,2017,35.5,10.4,23.5,31.5,23.9,41.2
Bosnia And Herzegovina,2017,35.0,6.2,21.2,29.8,24.2,51.3
Philippines,2017,34.7,7.3,21.6,33.9,19.9,36.0
Colombia,2017,34.4,10.7,23.1,28.8,25.0,37.6
Uganda,2017,34.1,6.8,21.1,29.4,20.8,19.4
Armenia,2017,33.9,9.9,22.4,26.8,31.0,32.9
Belarus,2017,33.8,12.2,23.5,27.2,37.6,36.4
Serbia,2017,33.8,7.2,21.1,25.0,27.2,40.8
Sri Lanka,2017,33.5,8.7,21.6,36.8,19.5,30.3
Albania,2017,32.4,6.3,19.9,26.1,25.1,34.5
Algeria,2017,32.4,6.8,20.1,32.5,20.1,36.7
North Macedonia,2017,30.9,6.0,19.0,25.4,20.7,39.8
Kazakhstan,2017,30.7,11.3,21.4,24.8,32.0,44.8
Nepal,2017,30.0,3.4,17.2,26.4,16.3,25.1
Mexico,2017,29.8,8.4,19.5,28.1,25.8,60.1
Tunisia,2017,28.7,6.1,17.9,27.6,16.9,40.2
Moldova,2017,28.4,7.9,18.5,22.0,20.3,29.4
Syria,2017,28.3,6.0,17.6,26.7,22.2,14.1
Azerbaijan,2017,27.8,10.7,19.6,22.9,29.2,30.8
Georgia,2017,27.4,8.6,18.4,22.3,26.7,33.0
Pakistan,2017,27.2,5.0,16.6,24.8,21.0,39.9
Ukraine,2017,26.2,9.4,18.1,19.9,19.7,26.9
India,2017,25.1,6.8,16.3,25.2,16.4,76.7
Egypt,2017,22.4,5.0,14.1,19.0,18.6,29.4
Bermuda,2018,144.9,100.7,123.6,143.4,151.6,104.2
Switzerland,2018,131.4,53.8,94.0,133.3,131.9,126.1
Iceland,2018,124.0,54.6,90.5,119.0,132.6,87.8
Norway,2018,113.7,40.9,78.6,106.5,125.0,108.0
Bahamas,2018,100.7,35.3,69.2,88.4,102.1,71.4
Luxembourg,2018,96.6,59.9,78.9,85.0,107.9,116.7
Denmark,2018,93.3,36.6,66.0,72.5,113.4,117.5
Singapore,2018,91.4,71.9,82.0,83.6,64.4,95.9
Japan,2018,86.6,25.6,57.2,91.6,49.2,107.4
Israel,2018,86.5,35.6,62.0,72.4,94.9,102.3
Ireland,2018,85.4,47.2,67.0,69.5,93.2,96.1
Australia,2018,84.3,41.8,63.8,80.7,81.6,123.0
France,2018,83.9,28.6,57.2,78.1,81.9,101.2
Sweden,2018,83.7,28.0,56.8,76.1,86.7,113.0
New Zealand,2018,83.4,33.8,59.5,77.0,79.0,98.6
Belgium,2018,83.3,28.1,56.7,72.8,93.2,98.9
South Korea,2018,82.9,23.4,54.2,99.7,49.0,109.4
Netherlands,2018,82.7,36.2,60.3,65.8,92.7,109.5
Finland,2018,81.7,29.7,56.6,68.8,86.9,119.4
Austria,2018,81.5,29.3,56.3,76.8,75.8,98.7
Italy,2018,79.1,23.1,52.1,68.0,84.7,81.1
Hong Kong,2018,78.7,79.5,79.1,83.5,56.2,82.9
United Kingdom,2018,75.8,33.4,55.4,61.0,83.9,108.5
Germany,2018,74.3,29.1,52.5,58.9,71.2,125.0
United States,2018,73.0,38.5,56.3,73.9,70.0,127.6
Canada,2018,72.5,30.8,52.4,71.4,68.7,118.9
Malta,2018,70.9,29.3,50.9,59.8,75.1,66.2
United Arab Emirates,2018,67.2,60.7,64.1,55.6,63.3,124.8
Puerto Rico,2018,67.0,18.7,43.7,66.3,55.7,103.8
Uruguay,2018,66.9,20.0,44.3,54.5,69.2,34.3
Taiwan,2018,65.4,15.1,41.1,79.2,28.9,106.4
Qatar,2018,65.4,65.3,65.3,57.5,64.8,125.0
Greece,2018,63.2,11.8,38.4,50.9,61.7,53.8
Spain,2018,61.8,22.2,42.7,51.3,60.6,90.7
Jamaica,2018,60.6,12.5,37.4,60.2,39.7,35.3
Cyprus,2018,60.3,15.4,38.7,49.7,65.4,94.8
Lebanon,2018,60.2,27.9,44.7,46.2,58.7,56.4
Ghana,2018,59.8,32.8,46.8,54.9,37.4,16.0
Slovenia,2018,59.6,15.5,38.4,50.8,48.9,80.3
Bahrain,2018,59.6,31.0,45.8,58.0,54.2,72.3
Palestine,2018,58.2,10.3,35.1,54.4,41.8,60.2
Estonia,2018,57.6,15.8,37.5,43.8,56.8,74.8
Kuwait,2018,56.9,36.3,47.0,44.0,48.5,100.6
Costa Rica,2018,56.2,17.6,37.6,55.6,45.9,54.7
Portugal,2018,55.9,20.4,38.8,45.5,46.8,62.0
Chile,2018,55.2,16.6,36.6,47.8,51.4,54.5
Jordan,2018,55.1,12.1,34.3,46.5,52.7,43.4
Croatia,2018,55.1,12.0,34.3,46.3,43.4,59.8
Mauritius,2018,55.0,13.3,34.9,49.5,39.4,46.7
Trinidad And Tobago,2018,54.6,18.8,37.3,53.4,50.3,54.9
Argentina,2018,53.7,13.8,34.5,44.6,53.7,60.2
Latvia,2018,53.4,13.3,34.1,42.5,48.0,53.1
Lithuania,2018,53.2,15.2,34.9,41.7,48.9,57.3
Panama,2018,52.4,26.6,40.0,53.0,44.3,39.1
Brazil,2018,51.3,13.9,33.3,39.7,41.2,41.6
Slovakia,2018,50.4,18.9,35.2,43.7,37.3,67.3
Czech Republic,2018,50.1,19.1,35.1,43.6,36.0,76.3
Zimbabwe,2018,49.5,12.3,31.6,44.3,37.7,27.3
Oman,2018,49.3,20.3,35.3,46.7,46.2,99.2
Thailand,2018,48.9,17.1,33.6,54.9,23.9,38.6
Hungary,2018,48.6,15.4,32.6,38.6,37.4,50.6
South Africa,2018,48.1,17.9,33.5,40.7,45.7,99.8
Dominican Republic,2018,47.9,10.3,29.8,41.9,43.6,27.4
El Salvador,2018,47.9,11.4,30.3,46.8,36.2,30.9
Saudi Arabia,2018,47.9,13.5,31.3,42.0,32.0,131.5
Ethiopia,2018,47.5,24.0,36.2,39.1,20.2,15.0
Guatemala,2018,46.9,14.6,31.3,44.6,36.8,41.3
Zambia,2018,46.5,19.5,33.5,40.4,33.5,101.3
Cambodia,2018,45.9,13.6,30.3,49.3,23.1,14.9
Poland,2018,45.2,16.6,31.4,35.9,37.7,74.4
Tanzania,2018,45.0,19.0,32.4,34.5,29.4,23.1
Malaysia,2018,44.7,11.5,28.7,48.2,23.2,73.0
China,2018,44.6,18.4,31.9,47.7,29.6,72.3
Montenegro,2018,44.4,10.8,28.2,35.8,38.1,48.7
Ecuador,2018,44.3,11.2,28.3,42.9,30.8,39.4
Honduras,2018,44.3,10.6,28.1,36.6,33.0,34.9
Russia,2018,43.9,16.6,30.7,35.9,45.9,51.1
Iraq,2018,43.9,12.8,28.9,37.7,38.4,51.2
Turkey,2018,41.8,10.4,26.6,36.2,31.2,53.8
Bulgaria,2018,41.2,9.8,26.1,35.2,33.6,54.4
Indonesia,2018,39.7,8.5,24.7,43.5,19.5,37.5
Romania,2018,39.7,10.9,25.8,32.8,33.3,66.2
Peru,2018,39.6,14.4,27.5,35.9,26.3,37.1
Serbia,2018,39.6,8.4,24.6,30.0,31.5,41.8
Vietnam,2018,39.4,15.1,27.7,39.1,20.0,30.1
Bosnia And Herzegovina,2018,39.3,6.9,23.7,33.8,26.7,52.4
Kenya,2018,38.7,8.7,24.2,36.6,31.6,32.1
Albania,2018,37.9,7.3,23.1,30.9,29.1,37.0
Morocco,2018,37.1,11.5,24.7,33.3,25.8,45.1
Bolivia,2018,36.5,9.9,23.7,28.8,28.5,44.7
Philippines,2018,36.0,8.0,22.5,34.3,20.9,34.0
Colombia,2018,35.3,10.1,23.2,29.5,26.7,38.6
North Macedonia,2018,34.8,6.9,21.4,28.7,23.6,42.6
Nigeria,2018,34.7,16.0,25.6,35.8,22.1,19.6
Iran,2018,34.6,15.9,25.6,31.0,27.3,45.6
Sri Lanka,2018,34.3,8.3,21.8,38.4,19.7,29.6
Kazakhstan,2018,34.3,11.2,23.2,28.1,35.4,40.8
Belarus,2018,34.1,10.6,22.7,27.9,35.8,41.3
Mexico,2018,33.6,9.5,22.0,32.2,29.5,58.2
Armenia,2018,33.5,8.8,21.6,27.8,31.2,31.8
Moldova,2018,33.1,8.8,21.4,26.6,23.5,29.3
Uganda,2018,32.7,6.8,20.2,28.3,23.2,21.4
Nepal,2018,32.6,4.4,19.0,30.2,19.0,25.3
Venezuela,2018,32.2,7.6,20.3,33.8,26.7,4.0
Algeria,2018,32.1,6.0,19.5,33.8,17.6,36.0
Bangladesh,2018,32.0,5.5,19.2,30.2,21.2,39.6
Azerbaijan,2018,30.6,9.5,20.4,27.4,30.6,28.7
Georgia,2018,29.7,9.8,20.1,24.6,29.2,35.5
Kosovo (Disputed Territory),2018,29.4,8.6,19.4,26.3,21.0,59.2
Syria,2018,27.8,5.1,16.9,26.2,22.2,11.3
Tunisia,2018,27.7,5.8,17.1,26.4,17.1,38.2
India,2018,26.9,6.8,17.2,27.5,18.3,79.3
Ukraine,2018,26.0,8.9,17.7,20.4,18.6,30.2
Egypt,2018,25.7,5.1,15.7,23.0,21.0,24.7
Pakistan,2018,25.1,5.3,15.5,23.8,19.0,41.1
Switzerland,2019,121.2,50.2,87.1,120.8,123.1,129.7
Iceland,2019,101.9,48.3,76.1,92.1,111.8,91.8
Norway,2019,101.0,37.3,70.4,92.7,111.5,103.6
Bahamas,2019,92.4,33.5,64.1,77.0,99.9,57.0
Luxembourg,2019,86.1,55.6,71.5,75.1,96.1,106.3
Japan,2019,83.3,28.0,56.7,83.6,48.8,103.1
Denmark,2019,81.4,32.9,58.1,63.6,95.1,114.4
Hong Kong,2019,78.1,76.8,77.5,80.3,56.1,69.3
South Korea,2019,76.9,22.2,50.7,89.7,44.8,103.4
Ireland,2019,75.3,41.8,59.2,59.1,82.6,95.1
France,2019,74.9,26.2,51.5,68.3,75.4,91.6
Netherlands,2019,74.8,34.7,55.6,58.8,83.5,102.5
Israel,2019,74.3,29.4,52.7,61.9,80.8,92.5
Belgium,2019,73.0,25.8,50.3,60.9,83.4,95.1
Finland,2019,72.8,26.1,50.4,60.0,77.9,112.3
New Zealand,2019,72.6,31.6,52.9,65.7,68.8,101.1
Australia,2019,72.1,35.5,54.5,66.9,70.7,122.9
Austria,2019,71.8,27.6,50.6,65.6,70.1,96.7
Sweden,2019,71.6,26.0,49.7,63.5,75.0,111.4
United States,2019,69.9,39.0,55.1,67.4,69.3,122.0
Singapore,2019,69.8,53.1,61.8,57.5,46.7,103.8
Italy,2019,69.2,21.7,46.4,58.3,75.7,77.5
Germany,2019,67.6,26.8,48.0,54.3,63.6,116.2
United Kingdom,2019,65.3,28.6,47.7,51.9,72.4,105.7
Canada,2019,65.0,28.3,47.4,62.4,61.8,109.4
Puerto Rico,2019,63.8,18.0,41.8,61.7,54.8,98.4
Malta,2019,63.3,28.7,46.7,51.2,67.3,59.7
Taiwan,2019,59.8,23.4,42.3,69.6,26.9,56.4
Qatar,2019,59.1,46.6,53.1,47.7,61.9,138.3
Jamaica,2019,58.8,14.7,37.6,58.8,42.3,34.7
Lebanon,2019,58.1,26.9,43.1,43.3,56.8,54.0
Uruguay,2019,57.3,16.2,37.6,45.1,56.3,47.8
Bahrain,2019,56.7,29.6,43.7,51.2,52.2,74.6
Greece,2019,56.7,10.8,34.6,43.7,54.8,49.6
United Arab Emirates,2019,56.2,41.0,48.9,43.2,53.9,119.6
Cyprus,2019,55.6,20.2,38.6,44.3,59.8,75.3
Jordan,2019,55.0,11.9,34.3,44.4,52.3,41.7
Spain,2019,54.7,20.7,38.4,44.0,54.1,83.8
Slovenia,2019,52.5,15.4,34.7,43.3,43.8,75.4
Mauritius,2019,52.4,11.5,32.8,47.9,39.1,39.8
Myanmar,2019,52.4,24.7,39.1,54.8,20.2,14.0
Trinidad And Tobago,2019,52.1,17.1,35.3,50.0,46.0,57.0
Zimbabwe,2019,51.6,11.7,32.4,45.7,36.8,27.7
Kuwait,2019,51.5,32.9,42.6,39.9,47.3,102.0
Panama,2019,51.4,24.6,38.6,48.2,47.1,41.3
Ghana,2019,51.1,31.6,41.7,44.8,31.7,18.7
Estonia,2019,51.0,15.4,33.9,37.1,51.2,76.0
Fiji,2019,50.9,22.7,37.4,57.6,36.5,35.4
Costa Rica,2019,50.9,15.5,33.9,47.9,42.6,47.1
Portugal,2019,50.4,21.1,36.3,40.2,43.1,55.2
Palestine,2019,50.2,9.0,30.4,43.9,37.3,57.2
Belize,2019,49.4,8.8,29.9,42.9,36.7,70.8
Latvia,2019,49.2,12.0,31.4,36.7,45.5,55.2
Croatia,2019,49.2,11.6,31.1,40.3,40.4,60.3
Chile,2019,47.7,15.2,32.1,40.5,45.1,54.1
Saudi Arabia,2019,47.6,11.4,30.2,39.1,30.9,118.6
Thailand,2019,47.5,17.7,33.2,50.0,24.6,40.9
Cambodia,2019,46.8,14.4,31.3,44.2,24.4,12.5
Oman,2019,46.2,19.9,33.6,40.0,44.4,88.5
El Salvador,2019,46.1,14.2,30.8,45.6,35.5,30.1
Lithuania,2019,45.9,12.9,30.1,35.4,43.9,60.3
Nicaragua,2019,45.8,9.5,28.4,46.4,31.1,24.5
Czech Republic,2019,45.1,18.3,32.2,38.1,33.2,71.3
Slovakia,2019,45.0,16.1,31.1,38.5,33.6,63.2
Dominican Republic,2019,44.9,10.2,28.3,35.7,42.4,26.0
Namibia,2019,43.2,17.5,30.8,39.9,38.6,63.6
Brazil,2019,42.8,11.5,27.7,31.3,34.8,37.4
South Africa,2019,42.5,16.5,30.0,33.9,40.8,83.0
Honduras,2019,42.1,10.8,27.1,33.6,31.5,35.2
Hungary,2019,42.0,13.6,28.4,32.4,33.4,54.7
Ecuador,2019,42.0,11.6,27.4,37.9,29.4,40.8
Guatemala,2019,41.7,13.9,28.4,38.0,32.3,41.8
Cuba,2019,40.5,8.1,24.9,34.3,28.3,2.5
Iraq,2019,39.6,11.5,26.1,34.1,31.8,47.6
Montenegro,2019,39.6,9.9,25.4,30.8,34.2,46.3
Malaysia,2019,39.4,10.9,25.7,39.7,22.7,73.1
China,2019,39.2,17.4,28.7,39.9,28.2,69.0
Poland,2019,39.1,14.9,27.5,30.7,32.7,70.0
Kenya,2019,38.2,10.0,24.7,33.2,31.2,32.5
Vietnam,2019,37.7,13.1,25.9,37.9,18.9,33.3
Bulgaria,2019,37.2,9.2,23.7,31.1,29.9,52.2
Peru,2019,37.2,12.0,25.1,32.7,23.7,37.5
Romania,2019,36.5,10.0,23.7,29.9,32.3,61.2
Indonesia,2019,36.2,8.4,22.9,38.1,18.0,33.0
Albania,2019,36.2,8.2,22.7,28.6,29.3,33.8
Iran,2019,35.8,16.9,26.7,32.6,26.9,37.7
Bosnia And Herzegovina,2019,35.7,6.3,21.6,28.8,23.8,49.2
Russia,2019,35.5,12.7,24.5,29.2,37.0,45.4
Serbia,2019,35.4,8.1,22.3,26.3,27.8,39.9
Turkey,2019,35.2,7.2,21.8,30.4,23.7,45.3
Philippines,2019,35.1,8.1,22.1,32.6,19.7,29.5
Tanzania,2019,34.7,16.0,25.8,28.6,25.2,22.7
Bolivia,2019,34.4,10.9,23.1,26.9,28.0,44.0
Morocco,2019,34.0,9.5,22.2,29.9,23.9,41.4
Belarus,2019,33.1,10.0,22.0,27.8,36.0,44.6
Argentina,2019,33.1,9.5,21.8,26.3,32.5,55.0
Mexico,2019,32.7,10.1,21.8,30.3,30.2,50.0
Armenia,2019,32.5,9.9,21.7,25.8,32.5,33.1
Paraguay,2019,32.3,9.4,21.3,26.0,25.8,35.6
Moldova,2019,32.3,8.0,20.6,25.0,27.7,30.7
Bangladesh,2019,31.8,5.4,19.2,29.5,19.0,39.8
North Macedonia,2019,31.6,6.5,19.5,24.8,23.7,39.8
Nigeria,2019,31.2,29.0,30.2,31.8,19.2,15.1
Algeria,2019,30.6,5.5,18.5,32.0,16.4,32.9
Uganda,2019,30.3,8.5,19.8,26.1,21.9,22.7
Sri Lanka,2019,30.2,7.6,19.4,33.6,17.4,27.3
Colombia,2019,30.1,9.2,20.1,24.3,22.5,34.7
Kazakhstan,2019,29.8,9.8,20.2,23.8,29.8,38.8
Nepal,2019,29.6,4.6,17.6,25.4,19.7,26.3
Azerbaijan,2019,29.1,8.7,19.3,24.1,30.7,32.0
Georgia,2019,28.8,8.5,19.1,23.4,27.1,33.2
Ukraine,2019,27.9,9.5,19.1,22.5,22.1,32.7
Uzbekistan,2019,27.1,8.3,18.1,23.9,21.1,25.1
Egypt,2019,26.5,5.0,16.2,23.2,22.3,23.7
Kosovo (Disputed Territory),2019,26.2,8.1,17.5,23.2,19.6,61.8
Venezuela,2019,25.7,5.9,16.2,27.6,22.0,3.7
India,2019,24.2,5.8,15.4,24.2,17.2,66.9
Tunisia,2019,23.7,5.0,14.7,22.3,13.3,38.0
Pakistan,2019,20.4,4.5,12.8,18.2,15.4,38.6
Switzerland,2020,122.4,50.3,87.9,120.3,123.0,119.5
Norway,2020,101.4,36.2,70.2,91.1,109.3,88.4
Iceland,2020,100.5,47.0,74.9,86.9,113.7,79.4
Japan,2020,83.3,26.0,55.9,81.8,48.9,87.3
Denmark,2020,83.0,31.9,58.6,61.7,100.8,100.9
Bahamas,2020,82.5,36.4,60.4,62.7,83.7,54.2
Luxembourg,2020,81.9,54.9,69.0,69.1,89.8,103.9
Israel,2020,81.2,31.3,57.3,66.3,88.6,78.1
Singapore,2020,81.1,63.3,72.6,66.8,59.0,89.0
South Korea,2020,78.2,22.9,51.7,91.3,44.9,85.2
Hong Kong,2020,77.2,79.6,78.3,75.9,54.4,65.3
Barbados,2020,76.0,19.7,49.1,65.2,68.1,51.1
Ireland,2020,75.9,43.9,60.6,58.4,81.2,80.9
France,2020,74.1,25.4,50.8,67.9,72.5,80.4
Netherlands,2020,73.7,35.2,55.3,55.9,80.5,90.7
Australia,2020,73.5,34.9,55.0,67.2,70.3,107.3
New Zealand,2020,72.5,32.1,53.2,64.7,68.8,92.7
Belgium,2020,71.8,25.4,49.6,58.7,80.1,86.3
Seychelles,2020,71.6,32.3,52.8,64.6,84.9,21.7
United States,2020,71.1,40.3,56.4,66.6,70.7,109.5
Austria,2020,70.4,26.8,49.5,61.7,68.1,82.4
Finland,2020,70.3,26.2,49.2,56.5,76.8,99.9
Sweden,2020,69.8,25.9,48.8,60.5,72.3,101.7
Canada,2020,67.6,30.7,50.0,63.7,63.5,95.1
Puerto Rico,2020,67.5,19.3,44.5,65.8,58.7,79.4
Malta,2020,67.5,31.0,50.0,54.9,75.9,46.3
United Kingdom,2020,67.3,29.8,49.4,51.3,74.1,91.7
Italy,2020,67.3,21.2,45.2,55.4,72.3,65.6
Germany,2020,65.3,27.1,47.0,49.2,61.6,102.4
Macao,2020,64.8,44.0,54.9,62.0,43.4,80.9
Qatar,2020,64.0,47.4,56.1,53.6,66.8,111.7
United Arab Emirates,2020,62.0,41.1,52.0,47.6,61.3,91.6
Taiwan,2020,61.4,16.4,39.9,71.5,28.5,65.7
Lebanon,2020,60.5,24.5,43.3,43.9,58.2,44.5
Bahrain,2020,58.9,30.9,45.6,48.1,54.5,57.9
Cyprus,2020,57.9,20.5,40.0,44.2,63.1,57.4
Jamaica,2020,57.8,15.2,37.5,59.0,38.1,32.4
Greece,2020,55.7,11.7,34.6,41.6,53.7,43.7
Zimbabwe,2020,55.3,11.0,34.1,50.8,40.8,26.0
Palestine,2020,54.5,8.8,32.7,46.7,38.9,46.9
Ethiopia,2020,54.4,20.9,38.4,36.3,19.4,8.3
Panama,2020,54.2,24.8,40.1,53.0,47.3,34.2
Costa Rica,2020,54.0,15.5,35.6,49.6,43.5,42.6
Spain,2020,53.8,21.8,38.5,42.4,52.1,72.0
Trinidad And Tobago,2020,53.7,17.3,36.3,49.4,49.8,45.7
Jordan,2020,53.7,11.5,33.5,43.3,47.1,34.9
Slovenia,2020,53.4,17.1,36.0,43.8,45.4,66.3
Mauritius,2020,53.0,12.0,33.4,48.9,44.0,30.9
Uruguay,2020,51.0,14.4,33.5,40.1,47.4,37.5
Estonia,2020,50.9,15.4,33.9,36.6,52.9,71.3
Kuwait,2020,50.4,31.2,41.2,34.7,47.1,85.6
Thailand,2020,49.8,17.1,34.1,49.2,24.9,35.5
Croatia,2020,49.7,13.5,32.4,39.9,42.4,50.4
Portugal,2020,49.5,21.8,36.3,38.1,42.5,49.4
Oman,2020,49.3,18.0,34.3,43.5,44.3,81.0
Belize,2020,49.2,9.7,30.3,41.9,37.0,57.5
Saudi Arabia,2020,48.3,11.4,30.7,37.9,33.5,100.0
Latvia,2020,47.9,12.3,30.9,34.9,42.9,52.5
Cambodia,2020,47.5,14.9,31.9,44.6,25.2,11.3
Fiji,2020,47.5,18.5,33.6,52.7,35.9,33.2
Czech Republic,2020,46.1,19.6,33.4,38.1,34.1,62.8
El Salvador,2020,45.6,13.5,30.2,43.7,34.8,24.7
